,ordinary_comment
114,"嗯，143分钟的海王，有尿点，本来可以将两部电影的故事（安徒生童话前传+星球大战中部曲）生挤进了一部。DC的果然不是漫威口味的爆米花
惊喜点：海底世界生物大合集，还是超大型。譬如海马，就真的是马了，为啥纪录片里的都那么小只。海底暗黑系的赶脚还是蛮不错哒
不知道是惊喜点，还是槽点：
海底最可怕的怪物，已经不是大乌贼了，而是大乌贼和哥斯拉的结合体
妮可基德曼出来时，我是惊异的，竟然也参与了这类型的片子，说实话，有点穿越
武士发型出现的时候，我也是惊异的，这片子要混合多少风格
嗯，亚特兰蒂斯的士兵有点星球大战里克隆军队的赶脚，特别是武器
其实，我想不明白，就传统童话天赋异禀就好了啦，为啥这么高科技，亚特兰蒂斯真的科技范儿十足。估计我还陷在原始的古老波塞冬神话吧，嗯，还提到了匹诺曹，导演杂烩杂的厉害"
115,真的那么好看吗？剧情走向的每一个环节（就连笑点）也都太容易猜了吧，看的我全程冷静到打哈欠…唯一视觉上享受的是密恐那一段。评论一片赞叹我是看不懂了…
116,比较失望，特效应该是为剧情服务的，可这剧情真的很傻X，对白更是尴尬，看的我又晕又困
117,很矛盾的。特效很一般但是场面很宏大。演技很一般但是没有但是了。就是感觉一部电影融合了冒险科幻动作，仿佛看到了星球大战、指环王、碟中谍、西游记。拿金箍棒的美猴王战胜了虾兵蟹将。
118,老丈人计划通，不管兄弟俩谁掌权都能留一亩三分地。从软萌小孩进化为c罩兄贵的视觉冲击有点过于强烈了
119,8.1虚高得厉害，也就6水准。跟黑暗骑士差了16个神奇女侠。除了视觉，内核很空，可以更名为海鲜饕餮之王子复仇记，或者七海龙王之哪吒闹海，或者公主奇遇记之莫名我就爱上你。一杯热茶公主爱上了灯塔之子，一束玫瑰公主爱上了半血王子。DC花瓶比隔壁耐看很多，再次强调寡妇红发黑衣无人能敌。
120,"港譯名看來是譯女主安帕小姐,  她用啥水都可以!!  好看是男女主的化學作用, 很搭......紅色頭髪好看的女孩很少,  她已占頭牌......畫面好看預咗不能算優點,  反而紅眼怪最後遇到的亞洲科學家在蟻俠是FBI, 一人單挑兩大宇宙!!  最奇是魚佬擔心弟毀大陸, 是否多余, 陸人還有神奇女快快孩蝠娃呢....."
121,真的有剧情和人物塑造吗？节奏踩得是不错，剪辑也挺好，但最好看的还就是有恐怖片感的那一段嘛。
122,没有人物塑造。海王的自我认知可以深挖的点那么多，最后却沦为借助外物的升级，这就太斗罗大陆了。温子仁还是去拍cult吧，招魂多好
123,说实话dc没漫威好看，说效果好，也就那样电影全程黑漆马虎的，海里画面暗的经常看不清还有海底世界效果让我想起了孙悟空去找龙王，连里面的小兵都像出自日本漫画或者电影很山寨，电影经常突然出现个什么把你吓一跳，看起来让我想起电锯惊魂也难怪导演是同一个人，没有想象那么好，也不知道豆瓣评分是不是被刷上去的，故事线就是跟黑豹类似，中间男主和女主穿越一会儿沙漠盗墓一会儿到意大利小城镇房顶跑酷，东拼西凑的，唉，挺失望的，个人感觉不喜勿喷
124,跟漫威学搞笑路线么？然而笑点尴尬，剧情也莫名其妙，不过温子仁拍的动作跟画面还是很棒的。DC估计是回不到以前的样子了，还是继续看动画片吧。
125,无感。难得一个父母双全的主角……
