,praise_comment
194,总结：动作戏很棒，爱情戏垃圾。开头棒，当中无聊到我头疼，直到海沟族出现我整个人“都给我嗨起来！！！”，温子仁拍海怪真是妙啊。另外导演对PW的爱是个人都看出来了，拍得那么美艳还有天理吗。本来在三四星中纠结，但是为了那说不是致敬扎导我都不信的画面还是四星吧。
195,温子仁的镜头，一向既有情绪，又有技术。这部里也交待得特别清楚。时空转换的转场极为通俗、流畅。这么庞杂的世界讲得很明白，照顾观众到甚至连《皮诺曹》都会再特别解释一下的地步！比较特别的是，他还把海洋拍出了天空（或太空〉的感觉。/克苏鲁的粉丝，比如我，看那些海底大型生物，会特别爽。后悔没看IMAX……/太极手势调水、耍叉子耍成金箍棒，还挺可爱的～不如温子仁拍一波《西游记》吧！/开场潜水艇里“水侠”的耍帅很幽默。/Amber的烟嗓比较出戏，毕竟从小生活在海底，怎么抽的烟……以及我发现我真的开始喜欢妮可基德曼了。
196,两个半小时极尽渲染之能事，打造前所未有的类型元素杂糅，将海底奇观全方位多角度展现，加上接连不断的鏖战，温子仁惯用的jump scare，从而维系了电影出色的节奏掌控，情感内核落在父母爱情的牺牲与苦等，人物成长弧光略为断层，回忆杀却衔接精良，文戏刻意幽默显现尴尬，故事推进部分潦草，比如三叉戟的求得，撇开膈应人的情节，音效视觉炸裂恢宏，动作场景拳拳到肉，用最放肆的态度打造巅峰效应，让一贯暗黑的DC电影焕发出色彩生机，海底世界版《阿凡达》，终极对决如《指环王》，海沟族《魔窟》围剿，用尖峰的想象力还原天选之子的成王之路，DC翻身硬作，擎天归来，绝地反击。★★★★☆
197,文戏武戏俱佳！今年最佳超级英雄电影无疑了！突然发现温子仁拍本片实在太对了，他本来就站在东西方两种文化的桥梁上啊！
198,后悔当初没有去电影院看阿凡达和指环王但海王弥补了我的这个遗憾。DC从来不缺好故事，就看是什么人来表现。温子仁大师再一次的向我们证明了自己的强大指导能力。DC没有翻身之说我更同意DC像是再走楼梯，一步一步的进步。而温子仁恰巧是DC的电梯。建议大家看这部片子的IMAX。震撼到你心底。
199,剧情无聊些，但特效超赞，让人想起了阿凡达。温子仁越来越厉害了。
200,"海王转起金箍棒，不，三叉戟🔱的那一刻真的帅爆了。
湄拉控制红酒的那刻特别美帅。
剧情就那样，海鲜大战看的我爸想吃海鲜大餐。
但是不错的，海马王强大的荷尔蒙将这剧情的平淡呈现出了不同的感觉～"
201,湄拉好美
202,"前期水准一般让我一度怀疑是不是被看过提前场的影迷吹爆的作品，随着海底世界版图一层一层的揭开，我信了温子仁是真要拍一部海底指环王级史诗片，特效的宏大放在09年是真可同阿凡达争冠亚的。温子仁不再局限于dc超级英雄，本片足以看出他的世界观之大以及野心，这部大卖后地位定将再次上升一个台阶。缺点的话看到海王释放霸王色的瞬间还是暂时无视了。
PS 某导演中途还是不忘老本行
PSS 媚拉有寡姐的气质
PSSS 为了不打折扣的特效，一定要看IMAX"
203,超超级大爽片。没啥好说的，DC终于硬了一次。
204,温子仁真是名副其实的“救火英雄”，《海王》各方面比《神奇女侠》成熟得多，科幻，冒险，动作，甚至还加进了自己的一点恐怖元素，不得不佩服温子仁对电影把控能力真的是“教科书级别”！！！！
205,海底世界的设计华丽炫酷，保存三叉戟那地儿果然是海底阿凡达既视感。DC世界不再黑暗沉重，感觉也随时有尬舞的可能性。剧情套路太多，天选之人、真正的国王、他妈一定没死、头号反派一定没死等等，没什么错，但也缺乏惊喜。看的IMAX，视听效果很棒。期待温子仁更有力量的作品。
206,黑蝠鲼刺杀小队滥轰意大利小镇刀刀见血，各色近身肉搏痛感十足，好评；但主角强大过头，即便密集恐惧海沟妖怪啥的也毫无紧迫感，再加上冗肿无聊的文戏剧情搭配温导的口水歌品味，有点尬；彩蛋预示了续集的名字：《海王2：主体思想的复仇》
207,我只能说头一回看零点首映没有押错宝，意外的好看，DC这次真的下了狠心，两个半小时无尿点，整体感觉“大而精”：大场景大肌肉大鱼大虾大怪兽，个个呈现得绚丽精致叹为观止。场景变换密度之高，每一次都仿佛进入另一部超级大片中，不禁感叹光影科技都已经进步到如此程度了吗。男女主都过分养眼，更不要说竟然还有妮可女神。非要挑刺的话，跟漫威家插科打诨的英雄特色比起来DC内核还是略显沉闷刻板，不过从神奇女侠到海王这一路看来，人物色调日渐明朗，未来的成熟风格还是令人期待。
208,看片3大理由：温子仁、“卡奥”、妮可基德曼~能拿来吐槽的梗太多了，惊喜到不行~关键“历史总是惊人的相似”，去年和今年，同一季节，你们还是下班临时被叫住开会，而我始终在休假中提前到场等待~哈哈哈哈~
209,爽！看饿了，满屏海鲜
210,勉强四星吧，为了给惨成狗的DC鼓励……确实是震撼十足的海底视觉奇观，特效配乐可以打五星，最喜欢冲破突围进海沟族那段，叹为观止，海底世界的塑造也非常惊艳，同时温子仁对电影节奏的掌控是毋容置疑的，他完全知道哪里吓你，哪里该感动你，但剧本仍旧是DC的硬伤，只是特效奇观掩盖罢了。人物行为动机薄弱，反派弱鸡也没有足够的人物魅力，成为海王嘴炮就行。海王作为海陆的桥梁仅仅是靠说而已，到底为什么是桥梁，为了什么而战，基本上没有确切的说服力，希望续集能仔细刻画海王的成长和桥梁的作用吧。DC还是那个最大的缺点，一口气想把人物立起来，但漫威把人物铺了十年，拔苗助长的硬塞和设计果的铺排优缺点对比非常明显，但你问我会不会期待DC？当然会的，只是希望每一次都能看到更多的进步。
211,拍的很棒，先上厕所再进场不然真的要憋死。另外好像有水军刷分了？豆娘不是吃干饭的，不管你电影好还是烂，都不要来刷分，不然你妈坟头会开始群体蹦迪晚会的。
212,有一种 幼稚兼有生态观 粗狂兼浪漫着 的萌感
213,首映 全程无尿点 期待第二季
214,海马王领着多拉斯克大军下海了，七国药丸
215,温子仁给出了DC超英片中的最佳，这是部典型结构的英雄旅程，浸染着男孩女孩心中还色彩斑斓的童话印象。
216,天啊海王实在太帅了，我一直在咽唾沫啊，好想..........啊啊啊啊
217,08年奥运会主题电影：同一个世界同一个梦想。特效牛逼，剧情就像玩单机啊，不断刷boss开新的副本，买三叉戟送黄金圣衣，黄金圣斗士vs白银圣斗士，海王最后那招分明是大圣耍金箍棒吧没错吧！导演可是华人啊！开头真的想不明白，一个能把潜艇推出海面的这叫人吗，不跑还拿枪打，谁给你的勇气，梁静茹吗？海怪对话那里再次告诉我们，学好一门外语有多重要！
218,本片成在野心，过在野心太甚。【永旺中影】
219,感谢豆瓣IMax专场，超棒的视觉感观：从灯塔情缘快速跳进壮阔的海底世界，跟随游历幻想之都亚特兰蒂斯、沙漠古墓、海岸小镇、海沟峡谷、深渊王座，最后烈焰战场千人万鱼巨兽震撼厮杀，让我找回了首次看《阿凡达》的振奋心情。镜头精心打磨：一镜扫荡，远近切换有度，第三人称追尾走位，偶尔留点特写小幽默缓场，完全周密照顾观众体验。尽管剧情简单，快节奏流畅完整足够。所以，我也决定吹爆，年度院线特效最佳，温导开启DC杀阵新纪元，不看吃亏。
